order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,35,4,179.36,0,717.44
2,1,13,3,678.76,5,1934.47
3,1,84,2,692.4,5,1315.56
4,1,84,3,692.4,20,1661.76
5,2,5,1,79.49,0,79.49
6,2,58,1,215.72,20,172.58
7,2,167,1,490.96,20,392.77
8,2,8,2,180.25,0,360.5
9,3,30,2,526.07,5,999.53
10,3,180,3,211.06,20,506.54
11,3,95,2,59.03,10,106.25
12,3,156,1,457.44,20,365.95
13,3,42,3,708.41,0,2125.23
14,3,149,1,347.88,0,347.88
15,4,20,2,225.99,0,451.98
16,4,179,3,718.28,20,1723.87
17,5,137,4,265.97,15,904.3
18,5,95,1,59.03,10,53.13
19,5,166,3,24.42,0,73.26
20,6,163,4,508.19,15,1727.85
21,6,40,4,204.87,0,819.48
22,6,188,3,268.05,10,723.73
23,7,152,3,535.18,0,1605.54
24,7,63,1,202.08,0,202.08
25,7,116,2,393.38,20,629.41
26,7,119,4,783.94,0,3135.76
27,7,8,4,180.25,20,576.8
28,7,84,2,692.4,5,1315.56
29,8,180,3,211.06,10,569.86
30,8,3,2,593.83,0,1187.66
31,8,62,4,720.19,5,2736.72
32,8,143,2,584.19,15,993.12
33,8,122,4,723.62,5,2749.76
34,9,79,3,226.44,5,645.35
35,9,142,3,91.18,5,259.86
36,10,79,3,226.44,0,679.32
37,10,31,2,369.79,0,739.58
38,10,31,2,369.79,0,739.58
39,11,153,3,559.28,0,1677.84
40,11,50,3,763.03,0,2289.09
41,11,93,2,50.22,0,100.44
42,11,4,2,474.44,0,948.88
43,11,12,1,78.73,10,70.86
44,12,27,1,658.33,10,592.5
45,12,73,4,347.69,5,1321.22
46,12,113,3,444.81,0,1334.43
47,12,14,3,646.67,20,1552.01
48,13,162,1,72.41,0,72.41
49,13,39,3,308.39,0,925.17
50,13,64,1,21.72,10,19.55
51,13,196,4,221.98,10,799.13
52,13,153,2,559.28,20,894.85
53,14,110,3,535.95,10,1447.06
54,14,159,1,525.49,10,472.94
55,14,190,1,724.35,20,579.48
56,14,54,2,757.82,0,1515.64
57,14,170,1,322.72,0,322.72
58,15,116,4,393.38,0,1573.52
59,15,9,2,648.5,0,1297.0
60,15,181,3,225.46,15,574.92
61,15,117,1,509.26,15,432.87
62,16,109,1,245.5,10,220.95
63,16,58,2,215.72,0,431.44
64,17,192,3,384.2,5,1094.97
65,17,32,4,201.07,15,683.64
66,17,78,4,361.65,0,1446.6
67,17,129,4,692.36,5,2630.97
68,17,21,1,299.29,5,284.33
69,18,173,1,44.92,20,35.94
70,18,173,3,44.92,10,121.28
71,19,72,2,156.38,10,281.48
72,19,112,4,215.25,0,861.0
73,19,121,3,12.69,5,36.17
74,19,86,3,741.58,15,1891.03
75,20,74,4,376.28,20,1204.1
76,20,195,1,718.76,5,682.82
77,20,23,3,509.81,0,1529.43
78,20,83,1,328.1,20,262.48
79,21,119,4,783.94,0,3135.76
80,21,49,3,302.26,10,816.1
81,21,194,4,599.27,15,2037.52
82,21,114,1,485.84,0,485.84
83,21,69,2,536.84,0,1073.68
84,22,156,2,457.44,15,777.65
85,22,41,3,545.83,10,1473.74
86,22,4,4,474.44,0,1897.76
87,22,58,1,215.72,5,204.93
88,22,31,2,369.79,5,702.6
89,22,184,3,221.01,10,596.73
90,23,117,2,509.26,5,967.59
91,23,49,2,302.26,20,483.62
