order_id,customer_id,order_status,order_ts,currency,order_total,sales_channel
1,289,PAID,2025-05-28T22:13:07+00:00,GBP,5629.23,mobile
2,143,DELIVERED,2025-09-29T14:13:07+00:00,GBP,1005.34,web
3,319,PAID,2026-02-13T15:13:07+00:00,GBP,4451.38,store
4,347,CANCELLED,2025-10-22T10:13:07+00:00,GBP,2175.85,store
5,308,DELIVERED,2026-03-02T04:13:07+00:00,GBP,1030.69,mobile
6,422,DELIVERED,2025-08-25T19:13:07+00:00,GBP,3271.06,store
7,397,DELIVERED,2025-08-28T08:13:07+00:00,GBP,7465.15,web
8,182,SHIPPED,2025-12-21T12:13:07+00:00,GBP,8237.12,web
9,48,DELIVERED,2025-12-03T15:13:07+00:00,GBP,905.21,store
10,282,DELIVERED,2025-11-14T11:13:07+00:00,GBP,2158.48,web
11,379,DELIVERED,2025-08-28T14:13:07+00:00,GBP,5087.11,mobile
12,358,DELIVERED,2026-02-27T02:13:07+00:00,GBP,4800.16,mobile
13,59,DELIVERED,2026-03-30T10:13:07+00:00,GBP,2711.11,store
14,195,SHIPPED,2025-09-14T08:13:07+00:00,GBP,4337.84,web
15,89,SHIPPED,2025-07-24T20:13:07+00:00,GBP,3878.31,web
16,474,DELIVERED,2025-12-18T02:13:07+00:00,GBP,652.39,web
17,37,DELIVERED,2026-04-02T17:13:07+00:00,GBP,6140.51,store
18,166,PLACED,2025-06-27T14:13:07+00:00,GBP,157.22,web
19,391,DELIVERED,2026-02-02T07:13:07+00:00,GBP,3069.68,web
20,440,DELIVERED,2026-02-09T12:13:07+00:00,GBP,3678.83,mobile
21,443,DELIVERED,2025-08-12T22:13:07+00:00,GBP,7548.9,mobile
22,451,PAID,2025-05-10T07:13:07+00:00,GBP,5653.41,store
23,140,RETURNED,2025-10-02T07:13:07+00:00,GBP,1451.21,web
24,142,CANCELLED,2025-10-02T12:13:07+00:00,GBP,5063.78,store
25,391,DELIVERED,2025-07-28T10:13:07+00:00,GBP,4355.73,mobile
26,382,CANCELLED,2025-09-02T00:13:07+00:00,GBP,5288.71,store
27,467,DELIVERED,2025-09-11T22:13:07+00:00,GBP,2637.5,store
28,440,RETURNED,2025-08-02T10:13:07+00:00,GBP,3758.67,web
